?- in(?m, ?i, ?v).
[?m, ?i, ?v]
('MAIN', 2, 'TEMP 3')
('MAIN', 4, 'TEMP 4')
('MAIN', 7, 'TEMP 1')
('MAIN', 7, 'TEMP 6')
('MAIN', 8, 'TEMP 5')
('MAIN', 9, 'TEMP 1')
('MAIN', 11, 'TEMP 1')
('MAIN', 11, 'TEMP 8')
('MAIN', 12, 'TEMP 7')
('MAIN', 16, 'TEMP 9')
('MAIN', 19, 'TEMP 12')
('MAIN', 19, 'TEMP 13')
('MAIN', 21, 'TEMP 10')
('MAIN', 21, 'TEMP 11')
('MAIN', 22, 'TEMP 10')
('MAIN', 24, 'TEMP 14')
('MAIN', 28, 'TEMP 15')
('MAIN', 31, 'TEMP 1')
('MAIN', 31, 'TEMP 18')
('MAIN', 32, 'TEMP 17')
('MAIN', 33, 'TEMP 17')
('MAIN', 35, 'TEMP 20')
('MAIN', 35, 'TEMP 1')
('MAIN', 36, 'TEMP 19')
('MAIN', 38, 'TEMP 16')
('MAIN', 40, 'TEMP 21')
('MAIN', 42, 'TEMP 22')
('MAIN', 46, 'TEMP 23')
('MAIN', 48, 'TEMP 24')
('MAIN', 6, 'TEMP 1')
('MAIN', 8, 'TEMP 1')
('MAIN', 10, 'TEMP 1')
('MAIN', 18, 'TEMP 12')
('MAIN', 20, 'TEMP 11')
('MAIN', 30, 'TEMP 1')
('MAIN', 34, 'TEMP 1')
('MAIN', 37, 'TEMP 16')
('MAIN', 5, 'TEMP 1')
('MAIN', 29, 'TEMP 1')
('MAIN', 33, 'TEMP 1')
('MAIN', 33, 'TEMP 16')
('MAIN', 13, 'TEMP 1')
('MAIN', 4, 'TEMP 1')
('MAIN', 25, 'TEMP 1')
('MAIN', 28, 'TEMP 1')
('MAIN', 32, 'TEMP 1')
('MAIN', 3, 'TEMP 1')
('MAIN', 24, 'TEMP 1')
('MAIN', 27, 'TEMP 1')
('MAIN', 23, 'TEMP 1')
('MAIN', 26, 'TEMP 1')
('MAIN', 22, 'TEMP 1')
('MAIN', 21, 'TEMP 1')
('MAIN', 20, 'TEMP 1')
('MAIN', 19, 'TEMP 1')
('MAIN', 18, 'TEMP 1')
('MAIN', 17, 'TEMP 1')
('MAIN', 16, 'TEMP 1')
('MAIN', 15, 'TEMP 1')
('MAIN', 14, 'TEMP 1')

