?- out(?m, ?i, ?v).
[?m, ?i, ?v]
('MAIN', 1, 'TEMP 3')
('MAIN', 3, 'TEMP 4')
('MAIN', 6, 'TEMP 1')
('MAIN', 6, 'TEMP 6')
('MAIN', 7, 'TEMP 5')
('MAIN', 8, 'TEMP 1')
('MAIN', 10, 'TEMP 1')
('MAIN', 10, 'TEMP 8')
('MAIN', 11, 'TEMP 7')
('MAIN', 15, 'TEMP 9')
('MAIN', 18, 'TEMP 12')
('MAIN', 18, 'TEMP 13')
('MAIN', 20, 'TEMP 10')
('MAIN', 20, 'TEMP 11')
('MAIN', 21, 'TEMP 10')
('MAIN', 23, 'TEMP 14')
('MAIN', 27, 'TEMP 15')
('MAIN', 30, 'TEMP 1')
('MAIN', 30, 'TEMP 18')
('MAIN', 31, 'TEMP 17')
('MAIN', 32, 'TEMP 17')
('MAIN', 34, 'TEMP 20')
('MAIN', 34, 'TEMP 1')
('MAIN', 35, 'TEMP 19')
('MAIN', 37, 'TEMP 16')
('MAIN', 39, 'TEMP 21')
('MAIN', 41, 'TEMP 22')
('MAIN', 45, 'TEMP 23')
('MAIN', 47, 'TEMP 24')
('MAIN', 5, 'TEMP 1')
('MAIN', 7, 'TEMP 1')
('MAIN', 9, 'TEMP 1')
('MAIN', 17, 'TEMP 12')
('MAIN', 19, 'TEMP 11')
('MAIN', 29, 'TEMP 1')
('MAIN', 33, 'TEMP 1')
('MAIN', 33, 'TEMP 16')
('MAIN', 36, 'TEMP 16')
('MAIN', 13, 'TEMP 1')
('MAIN', 4, 'TEMP 1')
('MAIN', 25, 'TEMP 1')
('MAIN', 28, 'TEMP 1')
('MAIN', 32, 'TEMP 1')
('MAIN', 32, 'TEMP 16')
('MAIN', 12, 'TEMP 1')
('MAIN', 3, 'TEMP 1')
('MAIN', 24, 'TEMP 1')
('MAIN', 27, 'TEMP 1')
('MAIN', 31, 'TEMP 1')
('MAIN', 2, 'TEMP 1')
('MAIN', 23, 'TEMP 1')
('MAIN', 26, 'TEMP 1')
('MAIN', 22, 'TEMP 1')
('MAIN', 21, 'TEMP 1')
('MAIN', 20, 'TEMP 1')
('MAIN', 19, 'TEMP 1')
('MAIN', 18, 'TEMP 1')
('MAIN', 17, 'TEMP 1')
('MAIN', 16, 'TEMP 1')
('MAIN', 15, 'TEMP 1')
('MAIN', 14, 'TEMP 1')

